file,slot,index,value,gender
face/1.png,face,1,鹅蛋脸,neutral
face/2.png,face,2,剑客脸,neutral
face/3.png,face,3,圆脸,neutral
face/4.png,face,4,清瘦面,neutral
face/5.png,face,5,丰润面,neutral
hair/1.png,hair,1,高马尾,neutral
hair/2.png,hair,2,垂鬓,neutral
hair/3.png,hair,3,束发,neutral
hair/4.png,hair,4,披发,neutral
hair/5.png,hair,5,双丫髻,neutral
eyes/1.png,eyes,1,琥珀瞳,neutral
eyes/2.png,eyes,2,墨瞳,neutral
eyes/3.png,eyes,3,浅褐瞳,neutral
eyes/4.png,eyes,4,灰蓝瞳,neutral
eyes/5.png,eyes,5,绯瞳,neutral
cloth/1.png,cloth,1,靛青布衣,neutral
cloth/2.png,cloth,2,月白衫,neutral
cloth/3.png,cloth,3,玄色劲装,neutral
cloth/4.png,cloth,4,藕荷襦裙,neutral
cloth/5.png,cloth,5,灰褐短打,neutral
